model,lens,hs,j,energy,model_kl
llama8b,lora_is,28,6,0.919983,0.160216
llama8b,lora_is,28,7,0.835299,0.077134
llama8b,lora_is,28,8,0.825418,0.061561
llama8b,lora_is,28,9,0.711017,0.341708
llama8b,lora_is,28,10,0.706148,0.027807
llama8b,lora_is,28,11,0.705785,0.029911
llama8b,lora_is,28,12,0.637916,0.012307
llama8b,lora_is,28,13,0.637668,0.393602
llama8b,lora_is,28,14,0.548343,0.371546
llama8b,lora_is,28,15,0.408053,0.527055
